Ticker,Short Name,Inception Date,Family Name,Category Name,Legal Type,1 Year Return,1 Year Return Category,1 Year Beating Category,3 Year Return,3 Year Return Category,3 Year Beating Category,5 Year Return,5 Year Return Category,5 Year Beating Category,10 Year Return,10 Year Return Category,10 Year Beating Category,Stock Position,Bond Position,Previous Close,52 Week Low,52 Week High,50 Day Average,Below 50 Day Average,200 Day Average,Below 200 Day Average,Trailing Annual Dividend Rate,NAV Price
BBISX,"Sterling Capital Behavioral Lar","1992-10-08","Sterling Capital Funds","Large Value","None","-6.291570500000001%","42.880002%","False","6.480270000000001%","11.93%","False","7.49075%","12.0699994%","False","9.66549%","10.95%","False","0.9944","0.0","$23.58","$20.34","$25.51","$23.5252","False","$22.82135","False","N/A","N/A"
BAEIX,"Sterling Capital Equity Income ","2004-06-29","Sterling Capital Funds","Large Value","None","-4.2462002%","42.880002%","False","9.756251%","11.93%","False","12.051630000000001%","12.0699994%","False","11.15841%","10.95%","True","0.97940004","0.0","$25.39","$24.27","$28.56","$25.8296","True","$26.26295","True","N/A","N/A"
BCEGX,"Sterling Capital  Equity Income","2004-06-29","Sterling Capital Funds","Large Value","None","-4.9415898%","42.880002%","False","8.937710000000001%","11.93%","False","11.22251%","12.0699994%","False","10.32798%","10.95%","False","0.97940004","0.0","$25.11","$24.04","$28.24","$25.549","True","$25.9829","True","N/A","N/A"
BAERX,"Sterling Capital  Equity Income","2010-01-31","Sterling Capital Funds","Large Value","None","31.023220000000002%","42.880002%","False","16.50493%","11.93%","True","14.822360000000002%","12.0699994%","True","12.271519999999999%","10.95%","True","0.9818","0.0","$28.390001","$22.04","$28.39","$27.406","False","$26.1324","False","N/A","N/A"
BEGIX,"Sterling Capital  Equity Income","2004-06-29","Sterling Capital Funds","Large Value","None","-3.9824699999999997%","42.880002%","False","10.036240000000001%","11.93%","False","12.33158%","12.0699994%","True","11.43783%","10.95%","True","0.97940004","0.0","$25.49","$24.35","$28.67","$25.9274","True","$26.36065","True","N/A","N/A"
SDIVX,"Stock Dividend Fund, Inc.","2004-12-26","Adam Asset Funds","Large Value","None","1.3424%","42.880002%","False","7.96108%","11.93%","False","8.880611%","12.0699994%","False","8.7769605%","10.95%","False","0.9806","0.0","$26.63","$24.58","$30.81","$27.2646","True","$27.68175","True","N/A","N/A"
FDSBX,"AIG Focused Dividend Strategy F","1998-06-07","AIG","Large Value","None","19.650000000000002%","42.880002%","False","3.61%","11.93%","False","5.7800002%","12.0699994%","False","9.689999%","10.95%","False","0.9863","0.0","$17.16","$13.85","$17.65","$17.17387","True","$16.83985","False","N/A","N/A"
SFVAX,"AIG Strategic Value Fund - Clas","1999-10-31","AIG","Large Value","None","34.849998%","42.880002%","False","7.3%","11.93%","False","7.16%","12.0699994%","False","9.49%","10.95%","False","0.98910004","0.0","$28.77","$23.83","$33.92","$31.550968","True","$31.601654","True","N/A","N/A"
SFVTX,"AIG Strategic Value Fund - Clas","1999-10-31","AIG","Large Value","None","33.89%","42.880002%","False","6.4799999999999995%","11.93%","False","6.39%","12.0699994%","False","8.72%","10.95%","False","0.98910004","0.0","$25.81","$21.63","$30.83","$28.54129","True","$28.713308","True","N/A","N/A"
PRFDX,"T. Rowe Price Equity Income Fd","1985-10-30","T. Rowe Price","Large Value","None","-3.7808599999999997%","42.880002%","False","8.8183805%","11.93%","False","9.16438%","12.0699994%","False","9.56239%","10.95%","False","0.98010004","0.0","$33.29","$30.42","$37.46","$33.6414","True","$33.65275","True","305.0%","N/A"
PAFDX,"T. Rowe Price Equity Income Fd ","2000-03-30","T. Rowe Price","Large Value","None","-4.05222%","42.880002%","False","8.48249%","11.93%","False","8.83489%","12.0699994%","False","9.24029%","10.95%","False","0.98010004","0.0","$33.170002","$30.32","$37.35","$33.5236","True","$33.53225","True","305.0%","N/A"
RRFDX,"T. Rowe Price Equity Income Fun","2002-09-29","T. Rowe Price","Large Value","None","-4.2849798%","42.880002%","False","8.19872%","11.93%","False","8.54452%","12.0699994%","False","8.950800000000001%","10.95%","False","0.98010004","0.0","$33.09","$30.27","$37.28","$33.4476","True","$33.4596","True","305.0%","N/A"
TILCX,"T. Rowe Price Large-Cap Value F","2000-03-30","T. Rowe Price","Large Value","None","12.4319404%","42.880002%","False","14.15716%","11.93%","True","12.302089500000001%","12.0699994%","True","12.2834995%","10.95%","True","0.97940004","0.0","$22.47","$21.88","$28.53","$22.7964","True","$25.06265","True","72.0%","N/A"
PAVLX,"T. Rowe Price Value Fd Advisor ","2000-03-30","T. Rowe Price","Large Value","None","-8.057900499999999%","42.880002%","False","8.16783%","11.93%","False","9.10507%","12.0699994%","False","10.388449600000001%","10.95%","False","0.9933","0.0","$37.63","$37.04","$46.29","$38.1326","True","$40.0326","True","0.0%","N/A"
TGDFX,"TCW Relative Value Dividend App","2004-10-28","TCW","Large Value","None","14.34435%","42.880002%","False","14.833379999999998%","11.93%","True","10.881870000000001%","12.0699994%","False","11.057509999999999%","10.95%","True","0.9965","0.0","$19.650002","$16.94","$21.27","$19.6872","True","$19.0803","False","N/A","N/A"
TGIGX,"TCW Relative Value Dividend App","1986-09-18","TCW","Large Value","None","2.62684%","42.880002%","False","10.99188%","11.93%","False","8.48495%","12.0699994%","False","9.4291404%","10.95%","False","0.9872","0.0","$20.09","$17.31","$21.72","$20.1276","True","$19.49265","False","N/A","N/A"
TGDIX,"TCW Relative Value Large Cap Fu","2003-12-30","TCW","Large Value","None","11.52651%","42.880002%","False","14.674321%","11.93%","True","11.14995%","12.0699994%","False","11.11112%","10.95%","True","0.9933","0.0","$13.05","$11.62","$14.75","$13.1448","True","$12.9205","False","N/A","N/A"
TGDVX,"TCW Relative Value Large Cap Fu","1997-12-30","TCW","Large Value","None","0.215%","42.880002%","False","10.41986%","11.93%","False","7.9653903999999995%","12.0699994%","False","9.3170606%","10.95%","False","1.0089","0.0","$13.01","$11.57","$14.7","$13.1024","True","$12.8698","False","N/A","N/A"
WEECX,"TETON Westwood Equity Fund Clas","1994-01-27","Teton Westwood Funds","Large Value","None","-5.9703797000000005%","42.880002%","False","5.4621402%","11.93%","False","8.65046%","12.0699994%","False","9.7406%","10.95%","False","0.98010004","0.0","$10.47","$10.27","$12.34","$10.7126","True","$10.997","True","N/A","N/A"
WESWX,"TETON Westwood Equity Fund Clas","1987-01-01","Teton Westwood Funds","Large Value","None","-6.0404100000000005%","42.880002%","False","5.51831%","11.93%","False","8.8109195%","12.0699994%","False","9.944310000000002%","10.95%","False","0.98010004","0.0","$10.4800005","$10.28","$12.35","$10.7186","True","$11.0038","True","N/A","N/A"
WEQCX,"TETON Westwood Equity Fund Clas","2001-02-12","Teton Westwood Funds","Large Value","None","12.4703996%","42.880002%","False","11.732420000000001%","11.93%","False","10.67346%","12.0699994%","False","10.327630000000001%","10.95%","False","0.9875","0.0","$9.389999","$9.21","$11.11","$9.6136","True","$9.86835","True","N/A","N/A"
WEEIX,"TETON Westwood Equity Fund Clas","2008-01-10","Teton Westwood Funds","Large Value","None","-5.7878498%","42.880002%","False","5.805289999999999%","11.93%","False","9.07714%","12.0699994%","False","10.200091%","10.95%","False","0.98010004","0.0","$10.41","$10.23","$12.28","$10.6516","True","$10.94515","True","N/A","N/A"
THPGX,"Thompson LargeCap Fund","1992-02-09","Thompson IM","Large Value","None","7.6487295%","42.880002%","False","18.39714%","11.93%","True","15.360579999999999%","12.0699994%","True","12.993879999999999%","10.95%","True","0.9986","0.0","$91.74","$80.25","$105.86","$90.9698","False","$89.6843","False","N/A","N/A"
AAUTX,"Thrivent Large Cap Value Fund C","1999-10-28","Thrivent Funds","Large Value","None","-0.29537%","42.880002%","False","11.18337%","11.93%","False","10.13465%","12.0699994%","False","10.661420000000001%","10.95%","False","0.9763","0.0","$25.960001","$23.89","$28.89","$26.1698","True","$26.17745","True","N/A","N/A"
TLVIX,"Thrivent  Large Cap Value Fund ","1999-10-28","Thrivent Funds","Large Value","None","16.869809999999998%","42.880002%","False","16.22411%","11.93%","True","13.80132%","12.0699994%","True","12.33752%","10.95%","True","0.9785","0.0","$26.18","$24.12","$29.12","$26.3952","True","$26.4204","True","N/A","N/A"
TRLIX,"TIAA-CREF Large-Cap Value Inst ","2002-09-30","TIAA Investments","Large Value","None","11.814669499999999%","42.880002%","False","14.193990000000001%","11.93%","True","11.2427905%","12.0699994%","False","10.94641%","10.95%","False","0.9931","0.0","$19.38","$17.66","$21.8","$19.4746","True","$19.4337","True","35.0%","N/A"
TRCPX,"TIAA-CREF Large-Cap Value Fund ","2009-09-29","TIAA Investments","Large Value","None","-4.5138102%","42.880002%","False","7.7413300000000005%","11.93%","False","7.168270000000001%","12.0699994%","False","9.0648%","10.95%","False","0.9984","0.0","$19.35","$17.61","$21.76","$19.4448","True","$19.3921","True","35.0%","N/A"
TCLCX,"TIAA-CREF Large Cap Value Fund ","2002-09-30","TIAA Investments","Large Value","None","-4.6522196000000005%","42.880002%","False","7.60214%","11.93%","False","7.010009999999999%","12.0699994%","False","8.8959396%","10.95%","False","0.9984","0.0","$18.300001","$16.71","$20.66","$18.3952","True","$18.382","True","35.0%","N/A"
TRLCX,"TIAA-CREF Large Cap Value Fund ","2002-09-30","TIAA Investments","Large Value","None","-4.61348%","42.880002%","False","7.642060000000001%","11.93%","False","7.05995%","12.0699994%","False","8.95742%","10.95%","False","0.9984","0.0","$19.31","$17.57","$21.72","$19.4068","True","$19.3478","True","35.0%","N/A"
TILVX,"TIAA-CREF Large Cap Value Index","2002-09-30","TIAA Investments","Large Value","None","-4.00277%","42.880002%","False","7.198799999999999%","11.93%","False","8.13109%","12.0699994%","False","9.8239094%","10.95%","False","1.0001","0.0","$22.16","$20.21","$24.83","$22.362","True","$22.2522","True","42.0%","N/A"
TRCVX,"TIAA-CREF Large Cap Value Index","2002-09-30","TIAA Investments","Large Value","None","11.34005%","42.880002%","False","12.700059999999999%","11.93%","True","11.39447%","12.0699994%","False","11.35585%","10.95%","True","0.9995","0.0","$22.61","$20.58","$25.31","$22.8242","True","$22.67335","True","42.0%","N/A"
TEVIX,"TIAA-CREF Quant Large-Cap Value","2007-11-29","TIAA Investments","Large Value","None","0.3%","42.880002%","False","3.27%","11.93%","False","5.86%","12.0699994%","False","0.0%","10.95%","False","0.9989","0.0","$6.4799995","$6.0","$9.8","$6.49","True","$8.087745","True","N/A","N/A"
TORYX,"Torray Fund","1990-12-17","Torray","Large Value","None","11.582539%","42.880002%","False","9.64554%","11.93%","False","8.45043%","12.0699994%","False","9.33698%","10.95%","False","0.97330004","0.0","$47.68","$45.09","$54.41","$48.1358","True","$48.70005","True","N/A","N/A"
TVLAX,"Touchstone Value Fd Cl A","2003-07-30","Touchstone","Large Value","None","-4.1582998%","42.880002%","False","7.6932504999999995%","11.93%","False","8.8024795%","12.0699994%","False","10.154530000000001%","10.95%","False","0.9763","0.0","$10.22","$9.36","$11.33","$10.301","True","$10.32735","True","65.0%","N/A"
TVLCX,"Touchstone Value Fd Cl C","2012-04-11","Touchstone","Large Value","None","-4.87111%","42.880002%","False","6.890549999999999%","11.93%","False","7.9840004%","12.0699994%","False","9.3225405%","10.95%","False","0.9763","0.0","$10.17","$9.33","$11.29","$10.2538","True","$10.2813","True","65.0%","N/A"
TVLYX,"Touchstone Value Fd Cl Y","1998-09-09","Touchstone","Large Value","None","-3.9846199999999996%","42.880002%","False","7.92688%","11.93%","False","9.09151%","12.0699994%","False","10.438%","10.95%","False","0.9763","0.0","$10.28","$9.41","$11.39","$10.3588","True","$10.3837","True","65.0%","N/A"
TVLIX,"Touchstone Value Fd Inst Cl","2006-12-19","Touchstone","Large Value","None","-3.7532496999999996%","42.880002%","False","8.113190000000001%","11.93%","False","9.24744%","12.0699994%","False","10.5887%","10.95%","False","0.9763","0.0","$10.25","$9.38","$11.35","$10.3212","True","$10.34845","True","65.0%","N/A"
TWQAX,"Transamerica Large Cap Value Cl","2010-11-14","Transamerica","Large Value","None","-4.8906296000000005%","42.880002%","False","8.0596%","11.93%","False","6.70947%","12.0699994%","False","9.64541%","10.95%","False","0.9795","0.0","$12.35","$11.55","$14.23","$12.4632","True","$12.60615","True","0.0%","N/A"
TWQCX,"Transamerica Large Cap Value Cl","2010-11-14","Transamerica","Large Value","None","-5.6179597999999995%","42.880002%","False","7.24679%","11.93%","False","5.92227%","12.0699994%","False","8.83465%","10.95%","False","0.9795","0.0","$12.240001","$11.47","$14.12","$12.3608","True","$12.50225","True","0.0%","N/A"
TWQIX,"Transamerica Large Cap Value Cl","2010-11-14","Transamerica","Large Value","None","-4.4751402%","42.880002%","False","8.516490000000001%","11.93%","False","7.090410599999999%","12.0699994%","False","10.00292%","10.95%","False","0.9795","0.0","$12.4800005","$11.67","$14.36","$12.5916","True","$12.736","True","0.0%","N/A"
TWQZX,"Transamerica Large Cap Value Cl","2010-11-14","Transamerica","Large Value","None","-4.499969999999999%","42.880002%","False","8.49294%","11.93%","False","7.1276695%","12.0699994%","False","10.06283%","10.95%","False","0.9795","0.0","$12.440001","$11.62","$14.32","$12.5518","True","$12.69345","True","0.0%","N/A"
TLOFX,"Transamerica Large Value Opport","2000-09-10","Transamerica","Large Value","None","14.55551%","42.880002%","False","11.9146004%","11.93%","False","10.78077%","12.0699994%","False","10.794220000000001%","10.95%","False","0.9978","0.0","$9.28","$8.61","$10.44","$9.3202","True","$9.44935","True","N/A","N/A"
TVEAX,"Guggenheim RBP Dividend Fund, C","2011-04-17","Guggenheim Investments","Large Value","None","-7.389600000000001%","42.880002%","False","7.733779999999999%","11.93%","False","9.12073%","12.0699994%","False","9.507%","10.95%","False","0.9999","0.0","$12.16","$10.69","$13.77","$12.2952","True","$12.01205","False","0.0%","N/A"
